決算月	決算日	当期純利益	assets	liabilities	equity	revenues	expenses	basis	現金	モバイルSuica	watchSuica	三井住友銀行	ゆうちょ銀行	住信SBIネット銀行	飯塚信用金庫	株式	債券	シエンタ	シエンタ償却額	MAZDA3	MAZDA3償却額	未収入金	未収収益	前払費用	JALカードSuicaゴールド	ビックカメラSuica	SMBCCARD	Amazonゴールド	Amazon仮勘定	未払金	前受収益	未払費用	税額調整	資本金	拠出金	父より	母より	任意積立金	留保利益	給与収入	ボーナス	受取利息	有価証券評価損益	有価証券売却損益	受取配当金	雑益	食材費	中食費	外食費	酒・お菓子	パーティ	趣味	レジャー費	交際費	事務用品費	消耗品費	医療費	被服費	書籍費	交通費	旅費	家賃	水道光熱費	保育費	養育費	通信費	償却費	雑費	雑損
202101	2021/01/31	23380	4726280	481970	4244310	333512	310132	348263	21514	8239	0	1688538	1656899	161351	0	655600	500000	0	0	0	0	34139	0	0	409062	6000	0	62510	3973	0	0	4905	-4480	840930	3380000	0	0	0	23380	348263	0	1	-17920	0	0	3168	24756	2265	31630	5650	0	40665	0	0	39267	3679	0	2189	7580	3440	24390	92415	21168	0	0	8660	0	2378	0
202102	2021/02/28	249300	5133520	487758	4645762	476910	227610	348263	7663	13725	0	1935331	1656899	161351	0	816400	500000	0	0	0	0	42151	0	0	267076	12238	0	69139	6553	0	0	105072	27680	993082	3380000	0	0	0	272680	348263	0	7	128640	0	0	0	21192	7007	17459	1793	0	35490	0	0	4929	2089	4655	2580	742	6748	0	92415	16338	0	0	9112	0	5061	0
202103	2021/03/31	90293	4557037	422447	4134590	459771	369478	348263	16605	11935	0	1022061	1136899	4537	0	1365000	1000000	0	0	0	0	0	0	0	300375	31894	0	34971	2557	0	0	14409	38241	391617	3380000	0	0	0	362973	348263	0	4981	42244	0	0	64283	14952	500	30569	3614	0	113420	0	1794	36663	2967	0	10980	1650	3368	27690	92415	16656	0	0	9119	0	3121	0
202104	2021/04/30	160544	5711200	416066	5295134	381372	220828	355589	13441	12069	0	1154248	2116906	266800	0	1086300	1000000	0	0	0	0	61436	0	0	298063	22656	12764	61757	6737	0	0	8061	6028	391617	780000	1600000	2000000	0	523517	355589	0	9	-48102	63552	0	10324	30154	2781	23528	8781	0	10109	0	947	5656	7619	7750	0	0	100	0	92415	14653	0	0	8469	0	3577	4289
202105	2021/05/31	207832	5848628	345662	5502966	431689	223857	355589	33488	1864	0	1162069	2075906	34225	0	1414000	1000000	0	0	0	0	127076	0	0	210680	0	0	67133	34733	0	0	8063	25053	391617	780000	1600000	2000000	0	731349	355589	0	0	76100	0	0	0	24814	4598	25783	7540	0	15408	0	0	4549	6179	0	5970	2440	0	0	92415	14625	0	0	9009	0	10527	0
202106	2021/06/30	137673	6016813	376174	5640639	350116	212443	359352	37808	5338	0	1287512	2075906	69089	0	1357500	1000000	0	0	0	0	183660	0	0	218386	0	0	89262	38483	0	0	16290	13753	391617	780000	1600000	2000000	0	869022	359352	0	26895	-45200	0	7969	1100	23523	6922	19912	7877	0	30682	0	0	1747	5594	547	0	0	0	0	92415	11975	0	0	8397	0	2852	0
202107	2021/07/31	29775	6007859	337445	5670414	292607	262832	356247	33498	16106	0	1358714	2015906	69089	0	1271700	1000000	0	0	0	0	196566	0	46280	255517	0	0	32085	34733	0	0	18517	-3407	391617	780000	1600000	2000000	0	898797	356247	0	0	-68640	0	0	5000	32769	3263	45368	1962	0	34473	0	0	9624	869	436	3800	1650	200	0	92415	17829	0	0	8912	0	2852	6410
202108	2021/08/31	76375	6183392	436603	5746789	369213	292838	356247	17795	11552	0	1528217	2015906	69089	0	1282400	1000000	0	0	0	0	258433	0	0	252063	19890	8790	84364	46019	0	0	26744	-1267	391617	780000	1600000	2000000	0	975172	356247	0	6	8560	0	0	4400	17949	637	41025	503	0	4841	0	8159	34989	4692	0	3980	0	9200	46280	92415	12264	0	0	8878	0	4938	2088
202109	2021/09/30	242043	6448272	459440	5988832	475447	233404	356247	29777	14985	0	1549387	1955906	69089	0	1431400	1000000	0	0	0	0	393603	0	4125	215664	22890	0	147216	34733	0	0	10404	28533	391617	780000	1600000	2000000	0	1217215	356247	0	0	119200	0	0	0	17221	820	31943	0	0	23173	0	0	6328	3302	0	0	0	4728	21340	92415	14822	0	0	8949	0	8363	0
202110	2021/10/31	43645	6395943	363466	6032477	263672	220027	353570	31420	12521	0	1853856	1935915	71082	0	1316300	1000000	0	0	0	0	95936	0	78913	277292	17268	0	10531	34733	0	0	18309	5333	391617	780000	1600000	2000000	0	1260860	353570	0	2002	-91900	0	0	0	20400	1642	37359	1479	0	16838	0	1620	6117	3017	0	10960	0	0	0	92415	12061	0	0	8805	3267	3347	700
